Experiments,KPIS,Initial Budget,Layer Amount Type,Layers Type,Nodes,Learning Period,Update Factor,Minibatch
1,All,10 per higher price,2,Constant,128,5,5,512
2,All,10 per higher price,1,Constant,512,5,5,1024
3,All,10 per higher price,2,Constant,512,5,5,1024
4,All,10 per higher price,1,Constant,512,20,1,1024
5,All,10 per higher price,1,Decreasing,600,20,1,1024
6,All,10 per higher price,2,Constant,512,20,1,1024
7,All,10 per higher price,1,Constant,512,20,5,1024
8,All,10 per higher price,2,Constant,512,5,1,1024
9,All,10 per higher price,2,Decreasing,600,20,1,1024
10,All,10 per higher price,1,Decreasing,600,20,5,1024
11,All,10 per higher price,2,Constant,128,5,1,512
12,All,10 per higher price,2,Decreasing,600,5,5,1024
13,All,10 per higher price,1,Decreasing,1024,20,5,2048
14,All,10 per higher price,1,Constant,128,20,1,512
15,All,10 per higher price,1,Decreasing,1024,20,1,2048
16,All,10 per higher price,1,Decreasing,1024,5,5,2048
17,All,10 per higher price,2,Decreasing,600,20,5,1024
18,All,10 per higher price,2,Constant,512,20,5,1024
19,All,10 per higher price,1,Decreasing,600,5,1,1024
20,All,10 per higher price,1,Constant,128,5,1,512
21,All,10 per higher price,2,Decreasing,600,5,1,1024
22,All,10 per higher price,2,Decreasing,1024,5,5,2048
23,All,10 per higher price,1,Constant,512,5,1,1024
24,All,10 per higher price,2,Decreasing,1024,5,1,2048
25,All,10 per higher price,1,Constant,128,20,5,512
26,All,10 per higher price,1,Constant,128,5,5,512
27,All,10 per higher price,2,Decreasing,1024,20,5,2048
28,All,10 per higher price,2,Constant,128,20,5,512
29,All,10 per higher price,2,Decreasing,1024,20,1,2048
30,All,10 per higher price,2,Constant,128,20,1,512
31,All,10 per higher price,1,Decreasing,600,5,5,1024
32,All,10 per higher price,1,Decreasing,1024,5,1,2048